,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Nsous,Nsens,ylim,size,time
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,[1],[1],[2.0],[100],"[datetime.timedelta(seconds=123, microseconds=137155)]"
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,[1],[1],[1.0],[100],"[datetime.timedelta(seconds=38, microseconds=205367)]"
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,[1],[1],[3.0],[100],"[datetime.timedelta(seconds=163, microseconds=727760)]"
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,[1],[1],[0.5],[200],"[datetime.timedelta(seconds=68, microseconds=522787)]"
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,[1],[1],[0.5],[350],"[datetime.timedelta(seconds=297, microseconds=699412)]"
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,[1],[1],[0.5],[500],"[datetime.timedelta(seconds=676, microseconds=461131)]"
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,[1],[1],[0.5],[800],"[datetime.timedelta(seconds=1791, microseconds=303664)]"
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,[1],[5],[0.5],[350],"[datetime.timedelta(seconds=298, microseconds=827473)]"
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,[1],[1],[0.5],[350],"[datetime.timedelta(seconds=298, microseconds=724245)]"
26,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,[1],[10],[0.5],[350],"[datetime.timedelta(seconds=289, microseconds=860685)]"
27,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,[1],[10],[0.5],[350],"[datetime.timedelta(seconds=383, microseconds=936101)]"
28,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,[1],[10],[0.5],[350],"[datetime.timedelta(seconds=301, microseconds=803205)]"
29,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,[1],[10],[0.5],[350],"[datetime.timedelta(seconds=295, microseconds=666023)]"
30,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,[1],[1],[0.5],[350],"[datetime.timedelta(seconds=319, microseconds=64496)]"
31,31.0,,,,,,,,,,,,,,,,,,,,,,,,,[1],[1],[1],[100],"[datetime.timedelta(seconds=37, microseconds=510692)]"
32,,,,,,,,,,,,,,,,,,,,,,,,,,[1],[1],[1],[100],"[datetime.timedelta(seconds=40, microseconds=54232)]"
