2.623595758503812192e+01,5.699671183347547299e+00,3.467182467128574075e+01,1.497355567951509769e+01,7.186986786740394706e+00,1.483475981676583189e+01,2.634888285259127105e-01,1.136300910993111729e-01,3.472086865740590111e-01,1.504333466893538751e-01,1.437220184442445370e-01,1.492075288892852347e-01
2.554001404553191534e+01,5.566163898299492985e+00,3.415858232611766709e+01,1.456645995651636483e+01,7.050591447853114424e+00,1.437183390686305096e+01,2.578902078401338338e-01,1.103869465052938342e-01,3.426692907999338567e-01,1.472061305811450671e-01,1.409735600422734880e-01,1.456218612762494313e-01
2.487323047894737726e+01,5.453280334209694935e+00,3.366177670242374376e+01,1.418275842070499060e+01,6.919958424123766605e+00,1.394634476936341194e+01,2.525312777625947636e-01,1.077055558571989174e-01,3.382723257372927117e-01,1.441812966318851696e-01,1.383426518496577995e-01,1.423761835576539680e-01
2.411626106279107518e+01,5.329440411574849712e+00,3.309132131309256408e+01,1.374813194976038133e+01,6.768396413784907750e+00,1.346607387785232923e+01,2.463124003832251052e-01,1.047787723346487732e-01,3.331625407998775046e-01,1.406809863772085500e-01,1.352899714897929651e-01,1.386353003468528688e-01
2.349557818956809641e+01,5.229173526606547995e+00,3.261346850030865596e+01,1.339140572300601484e+01,6.639594541303829089e+00,1.307127779061076467e+01,2.411011459825689873e-01,1.024157420693256049e-01,3.288228117345358692e-01,1.377373661015147965e-01,1.326943810931499323e-01,1.354748612800023289e-01
2.293172217760179521e+01,5.101423286869581020e+00,3.214649528568117631e+01,1.305016815885060133e+01,6.516769389921926781e+00,1.266373678116075929e+01,2.359655320179752935e-01,9.935649251031720974e-02,3.243979606709190833e-01,1.346735630549743823e-01,1.302247635693010719e-01,1.318881623909617662e-01
2.219072609360362236e+01,4.987314027604046629e+00,3.154474031860753414e+01,1.262489427823697064e+01,6.357072726731012757e+00,1.219412107721950456e+01,2.295673224493683384e-01,9.671497144010296476e-02,3.188344261910072697e-01,1.310659043418956615e-01,1.270103420237752023e-01,1.280271385382450722e-01
2.184575223312922532e+01,4.896195542724078642e+00,3.124270910920386513e+01,1.241061691277180756e+01,6.274904400608217081e+00,1.192911128653789277e+01,2.261363859710529556e-01,9.453534464117505087e-02,3.158332620508164656e-01,1.289501566740156591e-01,1.253567053203602788e-01,1.254373840073299551e-01
2.121754531050020987e+01,4.828240867509741463e+00,3.073281118522521282e+01,1.206218427272982296e+01,6.140508160959890382e+00,1.156543940338447030e+01,2.208720029447776012e-01,9.305753173953963675e-02,3.111980754564149243e-01,1.261260074734144587e-01,1.226524249376856474e-01,1.226561285342273461e-01
2.083607578099023527e+01,4.726606613777088128e+00,3.037703011300542499e+01,1.182530484372409418e+01,6.045647680937775270e+00,1.127259524762213516e+01,2.169937205224143073e-01,9.066292129861407145e-02,3.076222959294261927e-01,1.237306750984144693e-01,1.207453174859221823e-01,1.197298773838909591e-01
2.009936653413956975e+01,4.615618833911051766e+00,2.974062475620542401e+01,1.140461790210455284e+01,5.874344435859153002e+00,1.081173254741636747e+01,2.103149320051073967e-01,8.814659814162111029e-02,3.015743022626325986e-01,1.199736616848037368e-01,1.172971252129502984e-01,1.157088481139092878e-01
1.981419536426172101e+01,4.556327813953698680e+00,2.946963423542451466e+01,1.123452100424935551e+01,5.805042716352888377e+00,1.061269583331769972e+01,2.075385225555708146e-01,8.682523620415838472e-02,2.989134666949415098e-01,1.183425748410169565e-01,1.159062522444039844e-01,1.138443137162772623e-01
1.920958628854312167e+01,4.447116280699142443e+00,2.892008868139166822e+01,1.088356160894780089e+01,5.654694247422593634e+00,1.021823158569122114e+01,2.017746812150963409e-01,8.434044376440168189e-02,2.935478151096880817e-01,1.150175493725398707e-01,1.128786750353986679e-01,1.101459168392885934e-01
1.878735535798934109e+01,4.384468311850977074e+00,2.852357325176019387e+01,1.064260718617250845e+01,5.554543401944203929e+00,9.954548732425264390e+00,1.978431490349048527e-01,8.300347264989341167e-02,2.897344940720951723e-01,1.128242837986381530e-01,1.108689258538661238e-01,1.078333167604550724e-01
1.841394554044473253e+01,4.273031836872080547e+00,2.813304793975876095e+01,1.041018137204376792e+01,5.449932268242125843e+00,9.666294619308883895e+00,1.937226223623993437e-01,8.046930480929845309e-02,2.856615985418366477e-01,1.102615397883809217e-01,1.087664720890917786e-01,1.046560714314589413e-01
1.790066911400617400e+01,4.225323880570196700e+00,2.767149907315631552e+01,1.013056626196328125e+01,5.328030707778692587e+00,9.383608838892685711e+00,1.892545548609954054e-01,7.948096790248575239e-02,2.813527865534682371e-01,1.079019558837004955e-01,1.063133991989449190e-01,1.024126058095322089e-01
